MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
toyota,gas,std,two,sedan,rear-wheel-drive,four,112,6600,26,29,9298
mercedes-benz,gas,std,two,convertible,rear-wheel-drive,eight,155,4750,16,18,35056
volvo,gas,turbo,four,sedan,rear-wheel-drive,four,160,5300,19,25,19045
volvo,gas,turbo,four,wagon,rear-wheel-drive,four,162,5100,17,22,18950
dodge,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,6692
volvo,gas,turbo,four,sedan,rear-wheel-drive,four,162,5100,17,22,18420
alfa-romero,gas,std,two,convertible,rear-wheel-drive,four,111,5000,21,27,16500
mitsubishi,gas,std,four,sedan,front-wheel-drive,four,116,5500,23,30,9279
mitsubishi,gas,turbo,four,sedan,front-wheel-drive,four,116,5500,23,30,9279
audi,gas,std,four,wagon,front-wheel-drive,five,110,5500,19,25,18920
mazda,gas,std,four,sedan,front-wheel-drive,four,68,5000,31,38,7395
volkswagen,gas,std,four,sedan,front-wheel-drive,four,85,5250,27,34,8495
isuzu,gas,std,four,sedan,rear-wheel-drive,four,78,4800,24,29,6785
nissan,gas,std,two,sedan,front-wheel-drive,four,69,5200,31,37,6649
subaru,gas,std,two,hatchback,4wheel-drive,four,73,4400,26,31,7603
honda,gas,std,four,sedan,front-wheel-drive,four,101,5800,24,28,12945
honda,gas,std,two,hatchback,front-wheel-drive,four,86,5800,27,33,9095
bmw,gas,std,four,sedan,rear-wheel-drive,six,121,4250,20,25,24565
volkswagen,gas,std,two,hatchback,front-wheel-drive,four,90,5500,24,29,9980
mitsubishi,gas,std,two,hatchback,front-wheel-drive,four,68,5500,31,38,6669
audi,gas,std,four,sedan,front-wheel-drive,four,102,5500,24,30,13950
bmw,gas,std,four,sedan,rear-wheel-drive,six,182,5400,15,20,36880
nissan,gas,std,four,wagon,front-wheel-drive,four,69,5200,31,37,7999
peugot,diesel,turbo,four,sedan,rear-wheel-drive,four,95,4150,28,33,13200
dodge,gas,std,four,wagon,front-wheel-drive,four,88,5000,24,30,8921
audi,gas,std,four,sedan,4wheel-drive,five,115,5500,18,22,17450
toyota,gas,std,four,sedan,front-wheel-drive,four,70,4800,28,34,9258
mercedes-benz,diesel,turbo,four,wagon,rear-wheel-drive,five,123,4350,22,25,28248
peugot,gas,std,four,sedan,rear-wheel-drive,four,95,5000,19,24,15580
volvo,gas,turbo,four,sedan,rear-wheel-drive,four,114,5400,19,25,22625
mercedes-benz,gas,std,four,sedan,rear-wheel-drive,eight,184,4500,14,16,40960
peugot,diesel,turbo,four,wagon,rear-wheel-drive,four,95,4150,25,25,17075
nissan,gas,std,four,wagon,front-wheel-drive,four,69,5200,31,37,7349
subaru,gas,std,four,sedan,4wheel-drive,four,82,4800,24,25,9233
saab,gas,std,four,sedan,front-wheel-drive,four,110,5250,21,28,12170
toyota,gas,std,two,sedan,rear-wheel-drive,four,70,4800,29,34,8058
nissan,gas,std,four,sedan,front-wheel-drive,four,97,5200,27,34,9549
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,11199
volvo,gas,std,four,wagon,rear-wheel-drive,four,114,5400,24,28,16515
