MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
volvo,gas,std,four,sedan,rear-wheel-drive,four,114,5400,24,28,15985
nissan,gas,std,four,sedan,front-wheel-drive,four,69,5200,31,37,7499
mitsubishi,gas,turbo,two,hatchback,front-wheel-drive,four,145,5000,19,24,12629
bmw,gas,std,two,sedan,rear-wheel-drive,six,121,4250,21,28,20970
saab,gas,std,four,sedan,front-wheel-drive,four,110,5250,21,28,15510
mazda,gas,std,four,sedan,rear-wheel-drive,four,120,5000,19,27,18280
nissan,gas,std,four,sedan,front-wheel-drive,six,152,5200,17,22,13499
nissan,gas,std,two,hatchback,rear-wheel-drive,six,160,5200,19,25,18399
toyota,gas,std,two,hatchback,rear-wheel-drive,six,161,5200,20,24,16558
alfa-romero,gas,std,two,hatchback,rear-wheel-drive,six,154,5000,19,26,16500
subaru,gas,std,four,wagon,4wheel-drive,four,82,4800,23,29,8013
dodge,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,7609
plymouth,gas,turbo,two,hatchback,front-wheel-drive,four,102,5500,24,30,7957
volvo,gas,std,four,sedan,rear-wheel-drive,four,114,5400,23,28,16845
subaru,gas,std,two,hatchback,front-wheel-drive,four,73,4400,26,31,7053
subaru,gas,std,four,wagon,front-wheel-drive,four,94,5200,25,31,10198
volvo,gas,std,four,wagon,rear-wheel-drive,four,114,5400,23,28,13415
mitsubishi,gas,turbo,two,hatchback,front-wheel-drive,four,102,5500,24,30,7689
chevrolet,gas,std,four,sedan,front-wheel-drive,four,70,5400,38,43,6575
